Nom d'établissement,Pays,Ville,Statut MLF,Comprendre un texte lu par l’enseignant(e),Comprendre des mots lu par l’enseignant(e),Comprendre des phrases lues par l’enseignant(e),Reconnaitre des lettres,Discriminer des sons,Lire des nombres,Résoudre des problèmes,Quantifier et dénombrer,Comparer des nombres,Reproduire un assemblage,Ecrire des nombres ,Placer un nombre sur une ligne numérique,Niveau scolaire,Comprendre un texte lu seul(e),Comprendre des phrases lues seul(e),Comprendre des mots et des phrases lus par l’enseignant(e),Écrire des syllabes,Lire,Reconnaitre des nombres,Calculer en ligne,Calculer mentalement,Ecrire des nombres,Reproduire des assemblages,Comprendre un texte lu par l'enseigant(e),Ecrire des mots dictés,Orthographe de base,Se reperer dans la phrase,"Nommer, lire, écrire, représenter des nombres",Calculer,Ordonner des nombres,Comprendre des textes à l'oral,Maîtriser l’orthographe grammaticale de base,Se repérer dans une phrase,Construire le lexique,Comprendre un texte lu seul(e) ,Écrire des mots (dictés),Lire et comprendre un texte,Comprendre le fonctionnement de la langue : Comprendre et mobiliser le lexique,Comprendre et s'exprimer à l'oral : comprendre un message oral,Comprendre le fonctionnement de la langue : Se repérer dans une phrase et identifier sa composition,Comprendre le fonctionnement de la langue : maîtriser l'orthographe,Automatismes : Mobiliser directement des procédures et des connaissances,"Résolution de problème : résoudre des problèmes en utilisant des nombres, des données et des grandeurs",Espaces et géométrie : connaître et utiliser des notions de géométrie,Grandeurs et mesures : Connaître des grandeurs et utiliser des mesures,Nombres et calcul : connaître les nombres et les utiliser dans les calculs,Connaître et utiliser des données et la notion de fonction,Calcul littéral : Utiliser des expressions littérales pour traduire ou résoudre des problèmes,Nombres et calcul : Connaître les nombres et les utiliser dans des calculs,Calcul littéral : Connaître et utiliser des données et la notion de fonction
Ecole Publique Conventionnée de Port-Gentil,Gabon,Port Gentil,EPA,73.00,89.00,75.00,82.00,65.50,99.00,95.00,65.00,69.00,74.00,97.00,78.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée Gros Bouquet II,Gabon,Libreville,EPA,82.00,87.00,83.00,88.00,84.50,87.00,84.00,78.00,89.00,63.00,89.00,81.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée International Jean-Mermoz,Côte d'Ivoire,Abidjan,EPR,71.20,71.20,86.80,73.60,69.80,97.00,66.80,93.40,65.20,67.60,97.20,80.20,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire Grain de Soleil,Côte d'Ivoire,Abidjan,EPA,69.00,64.50,78.50,74.75,64.75,95.00,65.00,84.50,59.00,62.00,96.50,67.00,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,90.30,92.80,75.40,72.50,63.60,35.80,91.70,88.50,81.10,91.10,96.30,80.60,CP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,67.00,nan,nan,nan,nan,74.00,CE1,61.00,81.50,81.50,69.50,79.75,81.50,79.50,77.50,77.50,78.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,69.30,nan,nan,nan,nan,61.70,CE1,48.90,59.30,69.00,72.40,51.05,84.30,70.00,85.40,85.20,72.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,74.40,nan,nan,nan,nan,74.40,CE1,63.40,72.20,80.50,77.40,82.45,77.60,66.20,84.10,81.50,76.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,64.60,nan,nan,nan,nan,64.20,CE1,49.20,58.80,80.00,62.00,44.45,72.50,51.30,73.80,68.80,80.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français André Malraux,Espagne,Murcie,EPR,nan,nan,nan,nan,nan,nan,81.60,nan,nan,nan,nan,82.80,CE1,62.10,75.50,79.10,87.40,67.95,87.90,85.10,94.10,93.40,71.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,77.50,nan,nan,nan,nan,73.70,CE1,63.10,69.90,74.50,65.60,67.60,76.40,70.00,90.80,76.10,74.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,95.00,nan,nan,nan,nan,89.30,CE1,74.40,75.50,81.20,75.20,80.40,81.50,86.00,96.50,87.50,83.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Français International Jules-Verne ,Espagne,Santa Cruz de Tenerife,EPR,nan,nan,nan,nan,nan,nan,71.00,nan,nan,nan,nan,69.00,CE1,51.70,71.70,75.40,60.10,70.30,67.10,66.70,86.10,68.40,74.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Saragosse,Espagne,Saragosse,EPR,nan,nan,nan,nan,nan,nan,86.60,nan,nan,nan,nan,79.70,CE1,83.20,80.30,83.00,80.60,61.65,73.60,81.10,70.00,83.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Castilla y León,Espagne,Valladolid,EPR,nan,nan,nan,nan,nan,nan,84.80,nan,nan,nan,nan,94.50,CE1,91.50,91.40,88.60,86.20,65.25,94.10,90.00,96.40,94.50,86.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Molière - Villanueva de la Cañada,Espagne,Villanueva de la Cañada,EPR,nan,nan,nan,nan,nan,nan,85.60,nan,nan,nan,nan,66.90,CE1,67.90,59.70,77.70,70.70,58.60,82.60,70.30,90.30,82.90,79.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée franco-éthiopien Guébré Mariam,Ethiopie,Addis-Abeba,EPR,nan,nan,nan,nan,nan,nan,64.00,nan,nan,nan,nan,60.80,CE1,44.60,68.40,75.90,66.20,61.70,79.00,70.10,91.30,69.50,73.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École française de Thessalonique,Grèce,Thessalonique,EPR,nan,nan,nan,nan,nan,nan,83.30,nan,nan,nan,nan,93.30,CE1,78.10,77.50,81.70,92.70,69.40,80.00,81.70,97.50,77.50,81.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Victor Hugo,Italie,Florence,EPR,nan,nan,nan,nan,nan,nan,65.00,nan,nan,nan,nan,54.40,CE1,62.30,62.90,80.50,64.90,68.75,67.00,65.40,74.40,68.60,81.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Areva / Ecole Mlf,Finlande,Rauma,EE,nan,nan,nan,nan,nan,nan,100.00,nan,nan,nan,nan,86.50,CE1,87.50,100.00,100.00,95.80,94.50,86.70,100.00,100.00,62.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF TotalEnergies ,Royaume-Uni,Aberdeen,EE,nan,nan,nan,nan,nan,nan,95.80,nan,nan,nan,nan,95.00,CE1,90.60,95.00,95.80,100.00,110.00,100.00,93.30,97.50,97.50,90.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École MLF Bouygues Bâtiment International,Turkménistan,Ashgabat,EE,nan,nan,nan,nan,nan,nan,33.30,nan,nan,nan,nan,93.30,CE1,62.50,80.00,76.70,58.30,59.75,50.00,86.70,70.00,60.00,100.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Al-Khobar,Arabie saoudite,Al-Khobar,EPA,nan,nan,nan,nan,nan,nan,75.10,nan,nan,nan,nan,73.10,CE1,75.50,78.90,87.10,86.90,82.90,92.50,84.30,96.50,89.00,88.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TFS - École internationale du Canada,Canada,Toronto,EPA,nan,nan,nan,nan,nan,nan,84.00,nan,nan,nan,nan,83.70,CE1,58.40,76.70,81.60,73.50,73.70,84.70,82.10,94.10,85.70,85.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Xavier,Corée du Sud,Séoul,EPA,nan,nan,nan,nan,nan,nan,92.20,nan,nan,nan,nan,92.90,CE1,75.70,77.60,75.70,89.50,96.80,94.10,89.00,95.30,95.30,94.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international Honoré de Balzac,Egypte,Le Caire,EPA,nan,nan,nan,nan,nan,nan,55.80,nan,nan,nan,nan,61.70,CE1,39.60,64.40,63.30,69.50,60.70,78.90,66.50,83.30,74.30,75.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ISE Molière,Egypte,Alexandrie,EPA,nan,nan,nan,nan,nan,nan,81.30,nan,nan,nan,nan,59.20,CE1,26.60,66.30,54.20,66.70,65.20,81.30,73.30,82.50,81.30,62.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Théodore Monod,Emirats arabes unis,Abu Dhabi,EPA,nan,nan,nan,nan,nan,nan,71.70,nan,nan,nan,nan,65.80,CE1,65.30,77.10,78.60,84.00,90.00,81.70,76.30,87.00,82.80,79.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international de l'AFLEC,Emirats arabes unis,Dubaï,EPA,nan,nan,nan,nan,nan,nan,72.90,nan,nan,nan,nan,72.80,CE1,63.00,72.00,80.50,82.00,74.50,82.60,76.90,90.90,83.60,77.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Boston,Etats-Unis,Boston,EPA,nan,nan,nan,nan,nan,nan,83.20,nan,nan,nan,nan,74.40,CE1,74.40,84.00,86.70,74.80,78.55,83.50,80.20,93.00,88.60,79.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Section française de l'Awty International School,Etats-Unis,Houston,EPA,nan,nan,nan,nan,nan,nan,88.90,nan,nan,nan,nan,87.40,CE1,76.60,85.20,83.90,85.70,84.90,93.30,86.00,92.90,92.30,88.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée international de Los Angeles,Etats-Unis,Los Angeles,EPA,nan,nan,nan,nan,nan,nan,80.90,nan,nan,nan,nan,78.80,CE1,68.70,78.30,75.90,73.10,68.95,79.10,77.10,84.40,80.10,84.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École Bilingue de la Nouvelle-Orléans,Etats-Unis,Nouvelle-Orléans,EPA,nan,nan,nan,nan,nan,nan,76.26,nan,nan,nan,nan,78.18,CE1,52.20,72.40,74.40,76.10,74.35,83.48,80.98,88.95,84.21,83.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École internationale de la Péninsule,Etats-Unis,Palo Alto,EPA,nan,nan,nan,nan,nan,nan,90.00,nan,nan,nan,nan,83.40,CE1,72.90,82.00,85.60,84.20,79.10,89.40,86.20,95.00,87.70,87.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de Rhode Island,Etats-Unis,Providence,EPA,nan,nan,nan,nan,nan,nan,74.20,nan,nan,nan,nan,74.30,CE1,48.10,50.50,63.20,67.30,53.75,79.00,73.00,89.50,80.50,85.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The French American School of Tampa Bay,Etats-Unis,St Petersburg. Florida,EPA,nan,nan,nan,nan,nan,nan,72.90,nan,nan,nan,nan,90.00,CE1,59.40,86.30,82.10,82.80,120.25,87.50,75.80,92.50,83.80,82.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École franco-américaine de la Silicon Valley,Etats-Unis,Sunnyvale,EPA,nan,nan,nan,nan,nan,nan,88.90,nan,nan,nan,nan,81.00,CE1,88.70,89.50,83.20,90.50,102.35,79.50,83.80,94.80,80.50,89.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rochambeau - The French International School,Etats-Unis,Washington-Bethesda,EPA,nan,nan,nan,nan,nan,nan,75.90,nan,nan,nan,nan,71.60,CE1,75.10,79.10,80.30,78.50,76.95,90.80,81.00,88.90,90.40,84.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole française internationale Charles de Gaulle-Miras,Kazakhstan,Astana,EPA,nan,nan,nan,nan,nan,nan,100.00,nan,nan,nan,nan,92.00,CE1,81.30,82.50,91.70,88.50,96.40,100.00,97.30,92.00,88.00,92.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée Montaigne,Liban,Beit Chabab,EPA,nan,nan,nan,nan,nan,nan,81.90,nan,nan,nan,nan,90.40,CE1,83.50,89.00,91.10,90.10,74.65,91.10,86.20,94.80,96.80,80.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Etablissement scolaire français Blaise Pascal,RDC,Lubumbashi,EPA,nan,nan,nan,nan,nan,nan,69.40,nan,nan,nan,nan,75.70,CE1,79.50,82.30,88.60,70.20,80.50,97.30,90.60,87.10,94.60,84.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Agadir,Maroc,Agadir,EPR,nan,nan,nan,nan,nan,nan,69.00,nan,nan,nan,nan,75.00,CE1,70.00,80.00,86.00,85.00,70.00,86.00,89.00,71.00,86.00,74.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Louis Massignon,Maroc,Bouskoura,EPR,nan,nan,nan,nan,nan,nan,73.00,nan,nan,nan,nan,65.50,CE1,77.75,81.50,88.25,78.75,72.75,91.50,87.25,70.25,84.25,72.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français international Alphonse Daudet,Maroc,Casablanca,EPR,nan,nan,nan,nan,nan,nan,77.00,nan,nan,nan,nan,66.00,CE1,73.00,79.00,84.00,75.00,70.00,80.00,79.00,67.00,79.00,75.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Odette du Puigaudeau,Maroc,Dakhla,EPR,nan,nan,nan,nan,nan,nan,59.00,nan,nan,nan,nan,65.00,CE1,58.00,57.00,74.00,85.00,48.00,76.00,76.00,71.00,92.00,70.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI Jean Charcot,Maroc,El Jadida,EPR,nan,nan,nan,nan,nan,nan,78.00,nan,nan,nan,nan,69.00,CE1,70.00,67.00,83.00,75.00,61.00,90.00,91.00,66.00,85.00,78.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Eric Tabarly,Maroc,Essaouira,EPR,nan,nan,nan,nan,nan,nan,61.00,nan,nan,nan,nan,56.00,CE1,50.00,67.00,52.00,45.00,56.00,76.00,63.00,44.00,63.00,78.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ecole OSUI Paul Pascon,Maroc,Laayoune,EPR,nan,nan,nan,nan,nan,nan,61.00,nan,nan,nan,nan,61.00,CE1,55.00,63.00,75.00,79.00,61.00,81.00,81.00,67.00,95.00,85.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Jacques Majorelle,Maroc,Marrakech,EPR,nan,nan,nan,nan,nan,nan,64.50,nan,nan,nan,nan,64.00,CE1,67.50,65.50,70.50,70.00,54.00,81.50,88.00,71.00,82.00,79.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée OSUI André Malraux,Maroc,Rabat,EPR,nan,nan,nan,nan,nan,nan,72.00,nan,nan,nan,nan,68.00,CE1,77.00,78.00,86.00,79.00,72.00,87.00,84.00,70.00,82.00,72.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe scolaire OSUI Le Détroit,Maroc,Tanger,EPR,nan,nan,nan,nan,nan,nan,68.00,nan,nan,nan,nan,61.00,CE1,66.00,75.00,79.00,77.00,76.00,89.00,88.00,78.00,81.00,72.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire SandrinéO,Maroc,Oujda,EPA,nan,nan,nan,nan,nan,nan,77.00,nan,nan,nan,nan,74.00,CE1,85.00,98.00,96.00,86.00,67.00,88.00,85.00,66.00,96.00,91.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
EFIW / Ecole Mlf,Chine,Wuhan,EE,nan,nan,nan,nan,nan,nan,42.00,nan,nan,nan,nan,83.00,CE1,56.00,85.00,75.00,45.50,55.00,95.00,87.00,90.00,75.00,88.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Comilog / Ecole de Moanda,Gabon,Moanda,EE,nan,nan,nan,nan,nan,nan,56.00,nan,nan,nan,nan,64.00,CE1,61.00,73.00,83.50,63.00,43.00,78.00,62.00,77.00,76.00,74.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée Gros Bouquet II,Gabon,Libreville,EPA,nan,nan,nan,nan,nan,nan,99.00,nan,nan,nan,nan,98.00,CE1,nan,nan,99.50,98.00,142.00,100.00,100.00,98.00,98.00,100.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
École publique conventionnée d'Owendo,Gabon,Libreville,EPA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CE1,86.00,70.50,94.25,82.00,120.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,nan,nan,nan,nan,nan,nan,70.50,nan,nan,nan,nan,80.60,CE1,72.50,75.40,91.55,90.10,49.70,91.10,56.00,76.60,96.30,83.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée International Jean-Mermoz,Côte d'Ivoire,Abidjan,EPR,nan,nan,nan,nan,nan,nan,69.80,nan,nan,nan,nan,57.20,CE1,75.20,90.00,83.20,71.60,68.07,87.60,70.30,81.00,82.60,75.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Groupe Scolaire Grain de Soleil,Côte d'Ivoire,Abidjan,EPA,nan,nan,nan,nan,nan,nan,50.00,nan,nan,nan,nan,62.50,CE1,73.00,90.00,84.00,71.00,67.00,89.50,65.00,85.00,80.00,70.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
APEH / Petite Ecole d'Hydra,Algérie,Alger,EE,nan,nan,nan,nan,nan,nan,70.50,nan,nan,nan,nan,80.60,CE1,72.50,75.40,91.55,90.10,49.70,91.10,56.00,76.60,96.30,83.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Bahreïn,Bahreïn,Muharraq,EPR,nan,nan,nan,nan,nan,nan,61.00,nan,nan,nan,nan,nan,CE2,64.00,nan,nan,nan,103.86,nan,nan,nan,nan,nan,80.50,67.00,66.50,67.50,79.00,77.50,81.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français d'Alexandrie,Egypte,Alexandrie,EPR,nan,nan,nan,nan,nan,nan,46.50,nan,nan,nan,nan,nan,CE2,54.20,nan,nan,nan,79.97,nan,nan,nan,nan,nan,65.70,61.40,52.30,51.70,61.10,66.90,63.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français Pierre Deschamps,Espagne,Alicante,EPR,nan,nan,nan,nan,nan,nan,64.90,nan,nan,nan,nan,nan,CE2,64.00,nan,nan,nan,94.11,nan,nan,nan,nan,nan,81.90,66.50,65.60,73.40,76.50,72.30,80.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français René Verneau,Espagne,Las Palmas,EPR,nan,nan,nan,nan,nan,nan,63.40,nan,nan,nan,nan,nan,CE2,65.00,nan,nan,nan,86.77,nan,nan,nan,nan,nan,83.30,80.40,65.20,77.70,73.40,67.00,87.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français André Malraux,Espagne,Murcie,EPR,nan,nan,nan,nan,nan,nan,79.00,nan,nan,nan,nan,nan,CE2,66.60,nan,nan,nan,84.11,nan,nan,nan,nan,nan,77.70,84.80,59.80,50.30,83.50,89.70,85.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lycée français de Palma De Majorque,Espagne,Palma de Majorque,EPR,nan,nan,nan,nan,nan,nan,76.00,nan,nan,nan,nan,nan,CE2,60.70,nan,nan,nan,78.33,nan,nan,nan,nan,nan,89.00,64.50,70.00,66.50,82.00,76.40,86.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Collège français international Marguerite Yourcenar,Espagne,Reus,EPR,nan,nan,nan,nan,nan,nan,58.30,nan,nan,nan,nan,nan,CE2,53.00,nan,nan,nan,96.76,nan,nan,nan,nan,nan,83.80,50.00,58.30,69.90,69.00,72.40,80.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
